index,name,year,composer,type
5,Mezjuev/1986.mid,1986,"Mezjuev, Oleg",Y
435,Mezjuev/Antiquity Rag.mid,1991,"Jones, Ted",Y
462,Mezjuev/Apple Blossoms.mid,1985,"Waltman, Kjell H.",Y
532,Mezjuev/As It Was In The 'Aught-Six Quake.mid,2006,"La Spina, Riccardo",Y
992,Mezjuev/Big Man The.mid,1990,"McDermott, Tom",N
1022,Mezjuev/Birch Leaf Rag.mid,1987,"Mezjuev, Oleg",Y
1247,Mezjuev/Bluebell Rag.mid,1986,"Mezjuev, Oleg",Y
1429,Mezjuev/Brise Argentine.mid,1913,"Carlson, Sigurd",R
1455,Mezjuev/Bronco Billy's Ragtime Ride.mid,n/a,"La Spina, Riccardo",Y
1828,Mezjuev/Capitola Rain.mid,1995,"O'Briant, James E.",N
1900,Mezjuev/Carpet Sweeper  The.mid,2005,"La Spina, Riccardo",Y
2004,Mezjuev/Chandelier Rag.mid,1987,"Isbitz, Hal",Y
2244,Mezjuev/City Slicker.mid,2005,"La Spina, Riccardo",Y
2488,Mezjuev/Construction Rag.mid,1986,"Andersson, Peter",Y
2534,Mezjuev/Coon's Birthday.mid,1903,"Lincke, Paul",R
2700,Mezjuev/Cowboy Without Indians Rag  The.mid,1992,"Shockley, William M.",Y
3570,Mezjuev/Dragon-Fly  The.mid,1992,"Andersson, Peter",N
3853,Mezjuev/Entropy Rag.mid,2009,"Radna, Rudolf B.",Y
3897,Mezjuev/Euclid Avenue Rag.mid,1994,"Andris, James F.",Y
4476,Mezjuev/Friendship Rag.mid,2001,"Bowie, Greenfield",Y
4901,Mezjuev/Golliwog's Cake-Walk.mid,1908,"Debussy, Claude",N
5467,Mezjuev/Hippocampus Two Step.mid,1964,"Lundberg, Peter",Y
6610,Mezjuev/Jack Daniel's Old No. 7  The.mid,1983,"Waltman, Kjell H.",Y
6964,Mezjuev/Justin-Tyme.mid,1922,"Bargy, Roy",N
7171,Mezjuev/Kitty.mid,1919,"Schmal, René Richard",F
7771,Mezjuev/Lundberg Mucho Speziale.mid,1996,"Shockley, William M.",Y
7772,Mezjuev/Lundberg Special.mid,1959,"Lundberg, Peter",Y
7819,Mezjuev/Madame X.mid,1913,"Pinet, Theodor",R
7827,Mezjuev/Madrone  The.mid,2008,"La Spina, Riccardo",Y
8162,Mezjuev/Memories Of A Missouri Confederate.mid,1989,"Roberts, David Thomas",Y
8296,Mezjuev/Minor Rag (In F sharp minor).mid,n/a,"Janner, Oskar",Y
8428,Mezjuev/Mobile Carnival Rag-Tango.mid,1966,"Ashwander, Donald",Y
8542,Mezjuev/More The Merrier Rag  The.mid,1996,"Shockley, William M.",Y
8750,Mezjuev/My Little Black Sweetheart.mid,1911,"Juel-Fredriksen, Emil",M
8911,Mezjuev/Never-Fading Love  The.mid,1990,"Mezjuev, Oleg",Y
9015,Mezjuev/Niggerpiccolo.mid,1919,"Ehrlich, Siegwart",Y
9119,Mezjuev/North Star.mid,1995,"Keenan, Brian Patrick",Y
9308,Mezjuev/Okra Flowers.mid,2005,"La Spina, Riccardo",Y
9432,Mezjuev/On The Highwire.mid,1985,"Ashwander, Donald",Y
9527,Mezjuev/Orange Blossoms.mid,1983,"Waltman, Kjell H.",I
9607,Mezjuev/P.L.C. Rag.mid,2008,"La Spina, Riccardo",Y
10179,Mezjuev/Pontificator  The.mid,2007,"La Spina, Riccardo",Y
10779,Mezjuev/Rag's Rag.mid,1996,"Hellspong, Ragnar",Y
10724,Mezjuev/Raggin' On Home.mid,1997,"O'Briant, James E.",Y
10813,Mezjuev/Ragtime Angel.mid,n/a,"La Spina, Riccardo",Y
11073,Mezjuev/Ragweed Rag  The.mid,1995,"Shockley, William M.",Y
11099,Mezjuev/Rained-Out Slow Drag.mid,2005,"La Spina, Riccardo",Y
